,0,1,2
0,http://350.org/about/team/,0,123
1,http://350.org/bill/,0,114
2,http://activistpost.net/moneymetals.html,0,0
3,http://ambassadors.uvapolice.virginia.edu/,0,23
4,http://backstoryradio.org/shows/monumental-disagreements-memorials-in-america-rebroadcast/,0,24
5,http://billmckibben.com/appearances.html,0,45
6,http://blog.constitutioncenter.org/2014/02/article-i-the-legislative-branch-powers-denied-to-congress-and-the-states-sections-9-and-10/,0,122
7,http://blogs.ubalt.edu/dividedbaltimore/,0,74
8,http://buchananga.com/,0,17
9,http://cindysheehanssoapbox.blogspot.com/,0,459
10,http://coinivore.com/,0,118
11,http://content.healthaffairs.org/content/31/1/208.abstract,0,459
12,http://content.healthaffairs.org/content/33/1/67.abstract?=right,0,375
13,http://content.healthaffairs.org/content/early/2012/06/11/hlthaff.2012.0404,0,386
14,http://content.healthaffairs.org/content/suppl/2003/12/02/hlthaff.w2.83v1.DC1,0,-1
15,http://content.healthaffairs.org/lookup/doi/10.1377/hlthaff.2014.0792,0,342
16,http://countermarkets.com/,0,1
17,http://crfb.org/papers/chartbook-promises-and-price-tags,0,133
18,http://deepblue.lib.umich.edu/bitstream/handle/2027.42/96265/ecpo12006.pdf?sequence=1&isAllowed=y,0,9
19,http://dixienet.org/rights/2013/what_is_League_of_the_South.php,0,-1
20,http://edition.cnn.com/ALLPOLITICS/stories/1999/10/08/trump.transcript/,0,46
21,http://edition.cnn.com/TRANSCRIPTS/1406/17/se.01.html,0,33
22,http://elections.huffingtonpost.com/pollster/2016-general-election-trump-vs-clinton,0,341
23,http://endtheoccupation.org/article.php?id=4826,0,68
24,http://files.kff.org/attachment/2014-employer-health-benefits-survey-full-report,0,27
25,http://files.kff.org/attachment/analysis-of-2015-premium-changes-in-the-affordable-care-acts-health-insurance-marketplaces-tables,0,10
26,http://go.politicoemail.com/?qs=4a97d4fa05d517be9bfbcfd69a0824c996398656808a374233227464031ff625,0,0
27,http://go.politicoemail.com/?qs=92e547e969245f0c1b029ff58c70f4bc2af81935749850fbcecdd07442bb8737,0,0
28,http://go.politicoemail.com/?qs=92e547e969245f0c2b29ed7818a24280e0b84a04c67ac9d0a88d542f4b54fdd5,0,0
29,http://go.politicoemail.com/?qs=92e547e969245f0cb3447761292688260cc6aede64c5103fba861f5619653faf,0,0
30,http://go.politicoemail.com/?qs=92e547e969245f0cbbbfbec622b65359d2f87be8672c780bc70c3edaab8c9838,0,0
31,http://go.politicoemail.com/?qs=92e547e969245f0cccb34940d7efea3619386c3f2331f1ceaa6755ce80f4eda7,0,0
32,http://go.politicoemail.com/?qs=92e547e969245f0ce3629a1e319364ca1b8407d2277140477a1f2830e53fd8fe,0,0
33,http://goldstarmoms.com/,0,141
34,http://graphics.wsj.com/hillary-clinton-email-documents/,0,28
35,http://help.npr.org/customer/portal/emails/new?i=5&s=Copyright/Permissions,0,32
36,http://history.case.edu/faculty/john-grabowski/,0,85
37,http://history.gsu.edu/profile/harcourt-fuller-3/,0,394
38,http://housing.virginia.edu/move-in-2017,0,-1
39,http://iava.org/,0,70
40,http://images.politico.com/global/2015/03/10/clintons_taxes_2001.html,0,0
41,http://images.politico.com/global/2015/03/10/gsa_frmrpresact_bjtrequests_fy-2016.html,0,0
42,http://images.politico.com/global/2015/03/11/clintonfndtn_990_2005-salaries.html,0,0
43,http://images.politico.com/global/2015/03/11/clintonfndtn_990_2013-salaries.html,0,0
44,http://ippp.gmu.edu/andrew-light,0,91
45,http://ippp.gmu.edu/articles/9858,0,-1
46,http://josephsheppard.com/,0,15
47,http://joshblackman.com/blog/2015/10/14/a-bust-for-roger-taney/,0,0
48,http://keystone-xl.com/home/route-maps/,0,-1
49,http://kff.org/health-reform/faq/health-reform-frequently-asked-questions/?search-global=financial+assistance#question-i-received-financial-assistance-in-2014-a-premium-tax-credit-reduced-my-monthly-health-insurance-premium-i-want-to-continue-financi,0,2619
50,http://knit.audio/podcast-advertising,0,15
51,http://latinousa.org/wp-content/uploads/2015/11/Clinton.png,0,0
52,http://latinousa.org/wp-content/uploads/2015/11/TownHall.png,0,0
53,http://marketplace.publicradio.org/display/web/2010/04/13/pm-eaarth-new-reality-q/,0,-1
54,http://marylandnow.org/campaigns/harriet-tubman-statue/,0,121
55,http://media.gettyimages.com/photos/democratic-presidential-candidate-and-us-vice-president-al-gore-a-picture-id51567282,0,2
56,http://moconfederacy.pastperfectonline.com/webobject/262AD70B-6A88-450C-88E1-677841525251,0,15
57,http://moconfederacy.pastperfectonline.com/webobject/41E4E689-4AD8-4CAD-AC55-021656740953,0,17
58,http://moconfederacy.pastperfectonline.com/webobject/D5E767B5-DB05-48BB-B13C-559073417910,0,16
59,http://monumentaltask.org/general.php?id=4,0,-1
60,http://monumentcity.net/2009/05/23/flame-at-the-holocaust-memorial-baltimore-md/,0,-1
61,http://movies.nytimes.com/person/205240/Doug-Liman?inline=nyt-per,0,198
62,http://nas-sites.org/dels/studies/reflecting-sunlight-to-cool-earth/,0,47
63,http://ngm.nationalgeographic.com/2011/06/green-china/mckibben-text,0,2
64,http://online.wsj.com/public/resources/documents/st_clintondonor_20081218.html,0,3
65,http://onlinelibrary.wiley.com/doi/10.1111/psj.12094/abstract,0,78
66,http://pages.ucsd.edu/~dgvictor/contact.html,0,4
67,http://philosophy.gmu.edu/people/alight1,0,114
68,http://podcast.cnn.com/party-people/episode/all/OJV8aX77XZsici/5jf0fh.1-1.html,0,512
69,http://politicalticker.blogs.cnn.com/category/mitt-romney/,0,218
70,http://politicalticker.blogs.cnn.com/category/president-obama/,0,209
71,http://projects.fivethirtyeight.com/2016-election-forecast/national-polls/,0,2098
72,http://qb5cc3pam3y2ad0tm1zxuhho-wpengine.netdna-ssl.com/analysis/terror-rocks-france-%C3%A2%E2%82%AC%E2%80%9C-again,0,-1
73,http://response.virginia.edu/faqs,0,96
74,http://response.virginia.edu/share-your-ideas,0,42
75,http://rodrik.typepad.com/dani_rodriks_weblog/2008/04/larry-bartels-r.html,0,356
76,http://scholarship.law.duke.edu/cgi/viewcontent.cgi?article=5875&context=faculty_scholarship,0,104
77,http://servingonebaltimore.org/,0,19
78,http://spa.sagepub.com/content/14/4/389,0,360
79,http://speakingoffaith.publicradio.org/programs/2010/moral-math/,0,-1
80,http://store.tenthamendmentcenter.com/product-p/bkolh1a.htm,0,97
81,http://takeemdownnola.org/,0,23
82,http://therealnews.com/t2/index.php?option=com_content&task=view&id=31&Itemid=74&jumival=4843&updaterx=2010-02-21+00:15:38,0,243
83,http://thinkprogress.org/security/2011/06/06/238156/al-qaeda-gun-show-loophole-2/,0,-1
84,http://thomsonreuters.com/en/about-us/trust-principles.html,0,103
85,http://timesmachine.nytimes.com/timesmachine/1938/09/13/96836986.html?pageNumber=2,0,-1
86,http://topics.cleveland.com/tag/rnc-2016-fact-check/,0,266
87,http://topics.nytimes.com/top/news/business/series/the_reckoning/index.html,0,162
88,http://topsy.com/analytics?q1=cuckservative&amp;q2=%23cuckservative&amp;q3=%23cuckservative%20%2B%20Trump&amp;via=Topsy,0,-1
89,http://transcripts.cnn.com/TRANSCRIPTS/1510/13/se.01.html,0,4
